work_year,job_title,salary_in_usd,experience_level,employment_type,work_setting,company_location
2023,Analytics Engineer,430640,Mid-level,Full-time,In-person,United Kingdom
2023,Research Scientist,405000,Mid-level,Full-time,In-person,United States
2023,Analytics Engineering Manager,399880,Senior,Full-time,Hybrid,United Kingdom
2023,Machine Learning Engineer,392000,Senior,Full-time,In-person,United States
2023,Data Analyst,385000,Senior,Full-time,In-person,United States
2023,Data Infrastructure Engineer,385000,Senior,Full-time,In-person,United States
2023,ML Engineer,385000,Senior,Full-time,Remote,United States
2023,Research Engineer,385000,Senior,Full-time,In-person,United States
2023,Data Engineer,385000,Senior,Full-time,In-person,United States
2023,Data Engineer,385000,Senior,Full-time,In-person,United States
2023,ML Engineer,383910,Senior,Full-time,In-person,United States
2023,Data Architect,376080,Senior,Full-time,Remote,United States
2023,Director of Data Science,375500,Executive,Full-time,Remote,United States
2023,Research Scientist,374000,Senior,Full-time,In-person,United States
2023,AI Engineer,372000,Senior,Full-time,In-person,United States
2023,Research Scientist,370000,Senior,Full-time,In-person,United States
2023,Research Engineer,370000,Senior,Full-time,In-person,United States
2023,Research Engineer,370000,Senior,Full-time,In-person,United States
2023,Research Scientist,370000,Senior,Full-time,In-person,United States
2023,Data Scientist,370000,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,370000,Senior,Full-time,In-person,United States
2023,Research Engineer,370000,Senior,Full-time,In-person,United States
2023,Data Scientist,370000,Senior,Full-time,In-person,United States
2023,Research Engineer,370000,Senior,Full-time,In-person,United States
2023,Research Scientist,370000,Senior,Full-time,In-person,United States
2023,Data Engineer,370000,Senior,Full-time,In-person,United States
2023,Research Scientist,370000,Senior,Full-time,In-person,United States
2023,AI Engineer,369120,Mid-level,Full-time,In-person,United Kingdom
2023,Data Analyst,369120,Mid-level,Full-time,In-person,United Kingdom
2023,Analytics Engineer,369120,Mid-level,Full-time,In-person,United Kingdom
2023,ML Engineer,365630,Senior,Full-time,In-person,United States
2023,AI Engineer,360000,Senior,Full-time,In-person,United States
2023,Data Scientist,359170,Senior,Full-time,In-person,United States
2023,Data Scientist,359170,Senior,Full-time,In-person,United States
2023,Data Scientist,359170,Senior,Full-time,In-person,United States
2023,Data Scientist,359170,Senior,Full-time,In-person,United States
2023,Data Scientist,359170,Senior,Full-time,In-person,United States
2023,Data Scientist,359170,Senior,Full-time,In-person,United States
2023,Data Scientist,359170,Senior,Full-time,In-person,United States
2023,Data Scientist,359170,Senior,Full-time,In-person,United States
2023,Data Scientist,359170,Senior,Full-time,In-person,United States
2023,Data Architect,354200,Senior,Full-time,Remote,United States
2023,Director of Data Science,353200,Executive,Full-time,In-person,United States
2023,Director of Data Science,353200,Executive,Full-time,In-person,United States
2023,AI Engineer,350000,Senior,Full-time,In-person,United States
2023,Applied Scientist,350000,Senior,Full-time,In-person,United States
2023,Data Lead,350000,Senior,Full-time,In-person,United States
2023,Research Scientist,345000,Senior,Full-time,In-person,United States
2023,Computer Vision Engineer,342810,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,342300,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,340000,Senior,Full-time,In-person,United States
2023,Research Scientist,340000,Mid-level,Full-time,Remote,United States
2023,Director of Data Science,336400,Executive,Full-time,In-person,United States
2023,ML Engineer,336300,Senior,Full-time,In-person,United States
2023,Machine Learning Engineer,333500,Senior,Full-time,In-person,United States
2023,Data Engineer,333500,Executive,Full-time,In-person,United States
2023,Machine Learning Engineer,331640,Senior,Full-time,In-person,United States
2023,Deep Learning Engineer,331640,Senior,Full-time,In-person,United States
